Id,ParentCountryDivisionId,Name,Code,DivisionType
1,NULL,ایران,ir,0
2,1,فارس,7,1
3,1,اردبیل,24,1
4,1,ایلام,16,1
5,1,تهران,23,1
6,1,قزوین,26,1
7,1,مرکزی,0,1
8,1,هرمزگان,22,1
9,1,گیلان,1,1
10,1,خراسان جنوبی,29,1
11,1,زنجان,19,1
12,1,البرز,30,1
13,1,بوشهر,18,1
14,1,خراسان شمالی,28,1
15,1,کردستان,12,1
16,1,خراسان رضوی,9,1
17,1,مازندران,2,1
18,1,کرمان,8,1
19,1,کرمانشاه,5,1
20,1,اصفهان,10,1
21,1,قم,25,1
22,1,آذربایجان غربی,4,1
23,1,آذربایجان شرقی,3,1
24,1,چهارمحال وبختیاری,14,1
25,1,همدان,13,1
26,1,یزد,21,1
27,1,کهگیلویه وبویراحمد,17,1
28,1,خوزستان,6,1
29,1,سمنان,20,1
30,1,گلستان,27,1
31,1,لرستان,15,1
32,1,سیستان وبلوچستان,11,1
33,9,طوالش,4,2
34,20,آران وبیدگل,18,2
35,10,نهبندان,5,2
36,28,رامهرمز,10,2
37,28,رامشیر,19,2
38,2,سرچهان,32,2
39,2,سپیدان,6,2
40,15,بیجار,2,2
41,8,رودان,7,2
42,8,خمیر,10,2
43,13,دیر,5,2
44,13,دشتی,4,2
45,20,برخوار,22,2
46,13,دشتستان,3,2
47,30,مینودشت,7,2
48,30,مراوه تپه,12,2
49,16,خواف,19,2
50,16,خلیل آباد,29,2
51,17,بابل,2,2
52,29,مهدئ شهر,5,2
53,29,گرمسار,4,2
54,25,ملایر,2,2
55,25,کبودرآهنگ,5,2
56,2,جهرم,4,2
57,2,پاسارگاد,23,2
58,9,املش,13,2
59,2,بیضا,31,2
60,12,ساوجبلاغ,2,2
61,12,فردیس,6,2
62,9,شفت,12,2
63,31,دلفان,4,2
64,22,چایپاره,16,2
65,22,چالدران,14,2
66,18,فاریاب,22,2
67,10,بیرجند,1,2
68,11,زنجان,4,2
69,11,خرمدره,7,2
70,27,دنا,4,2
71,27,چرام,6,2
72,18,کهنوج,9,2
73,12,طالقان,4,2
74,2,کوه چنار,33,2
75,23,مراغه,6,2
76,23,کلیبر,15,2
77,23,عجب شیر,25,2
78,8,بستک,9,2
79,8,ابوموسی,1,2
80,7,محلات,9,2
81,7,کمیجان,11,2
82,7,فراهان,13,2
83,26,یزد,5,2
84,12,نظرآباد,3,2
85,12,کرج,1,2
86,2,کوار,28,2
87,9,صومعه سرا,8,2
88,16,کوهسرخ,41,2
89,16,کاشمر,14,2
90,10,قائنات,4,2
91,10,فردوس,7,2
92,18,عنبرآباد,12,2
93,2,کازرون,10,2
94,28,دشت آزادگان,9,2
95,13,جم,9,2
96,13,تنگستان,2,2
97,13,بوشهر,1,2
98,9,سیاهکل,15,2
99,32,زاهدان,5,2
100,16,چناران,18,2
101,19,پاوه,3,2
102,16,جوین,36,2
103,28,ایذه,4,2
104,28,اهواز,3,2
105,17,نور,14,2
106,17,نکا,19,2
107,18,جیرفت,3,2
108,2,زرین دشت,19,2
109,2,زرقان,30,2
110,16,قوچان,13,2
111,16,فیروزه,33,2
112,14,اسفراین,1,2
113,29,شاهرود,3,2
114,16,جغتای,34,2
115,16,کلات,28,2
116,19,ثلاث باباجانی,12,2
117,20,نطنز,15,2
118,14,بجنورد,2,2
119,32,سیب و سوران,14,2
120,26,اشکذر,8,2
121,32,نیمروز,15,2
122,31,الیگودرز,1,2
123,22,تکاب,12,2
124,22,پیرانشهر,2,2
125,22,پلدشت,15,2
126,10,بشرویه,8,2
127,2,نی ریز,14,2
128,2,مهر,21,2
129,20,نجف آباد,14,2
130,11,خدابنده,3,2
131,11,ابهر,1,2
132,18,سیرجان,6,2
133,23,شبستر,14,2
134,23,سراب,5,2
135,18,بافت,1,2
136,18,انار,20,2
137,17,رامسر,6,2
138,17,چالوس,20,2
139,17,جویبار,21,2
140,32,خاش,3,2
141,12,اشتهارد,5,2
142,11,ایجرود,6,2
143,15,بانه,1,2
144,17,نوشهر,15,2
145,7,آشتیان,2,2
146,27,کهگیلویه,2,2
147,16,مشهد,16,2
148,18,منوجان,13,2
149,18,کوهبنان,14,2
150,26,خاتم,9,2
151,8,میناب,5,2
152,8,قشم,4,2
153,8,سیریک,12,2
154,26,بهاباد,11,2
155,26,بافق,2,2
156,25,همدان,4,2
157,14,فاروج,5,2
158,25,نهاوند,3,2
159,2,گراش,27,2
160,11,طارم,8,2
161,11,سلطانیه,10,2
162,32,دلگان,12,2
163,32,دشتیاری,22,2
164,9,رشت,5,2
165,9,بندرانزلی,3,2
166,9,آستانه اشرفیه,2,2
167,9,آستارا,1,2
168,22,خوئ,3,2
169,10,خوسف,10,2
170,2,لارستان,11,2
171,15,سروآباد,9,2
172,14,گرمه,7,2
173,5,پردیس,20,2
174,28,باوی,24,2
175,3,خلخال,3,2
176,3,پارس آباد,6,2
177,6,تاکستان,2,2
178,6,بوئین زهرا,1,2
179,6,آوج,6,2
180,4,دهلران,3,2
181,4,دره شهر,2,2
182,4,چرداول,4,2
183,4,بدره,10,2
184,18,بردسیر,10,2
185,14,مانه وسملقان,6,2
186,20,سمیرم,5,2
187,20,خور و بیابانک,23,2
188,16,زاوه,35,2
189,16,رشتخوار,27,2
190,16,درگز,7,2
191,8,بندرعباس,2,2
192,8,بشاگرد,13,2
193,18,قلعه گنج,16,2
194,18,فهرج,19,2
195,5,دماوند,2,2
196,5,تهران,1,2
197,5,پیشوا,18,2
198,20,دهاقان,21,2
199,7,اراک,1,2
200,15,دیواندره,7,2
201,31,پلدختر,8,2
202,28,آغاجاری,26,2
203,28,آبادان,1,2
204,29,میامی,7,2
205,16,داورزن,39,2
206,16,خوشاب,38,2
207,5,پاکدشت,13,2
208,5,بهارستان,19,2
209,5,اسلامشهر,10,2
210,13,گناوه,7,2
211,13,کنگان,6,2
212,13,عسلویه,10,2
213,28,باغ ملک,15,2
214,13,دیلم,8,2
215,32,هامون,16,2
216,14,شیروان,4,2
217,14,راز و جرگلان,8,2
218,14,جاجرم,3,2
219,16,گناباد,15,2
220,6,آبیک,4,2
221,6,البرز,5,2
222,19,روانسر,14,2
223,19,دالاهو,13,2
224,19,جوانرود,9,2
225,7,تفرش,3,2
226,32,هیرمند,11,2
227,15,دهگلان,10,2
228,17,سارئ,7,2
229,19,کنگاور,7,2
230,31,بروجرد,2,2
231,2,شیراز,7,2
232,2,سروستان,25,2
233,28,شادگان,11,2
234,23,میانه,10,2
235,23,ملکان,20,2
236,23,مرند,7,2
237,16,بجستان,31,2
238,16,باخرز,37,2
239,3,بیله سوار,2,2
240,3,اصلاندوز,11,2
241,32,فنوج,19,2
242,3,اردبیل,1,2
243,4,آبدانان,6,2
244,4,ایوان,7,2
245,4,ایلام,1,2
246,2,خرم بید,18,2
247,2,خرامه,29,2
248,20,خوانسار,4,2
249,20,خمینی شهر,3,2
250,20,چادگان,20,2
251,20,تیران وکرون,19,2
252,20,بو یین و میاندشت,24,2
253,19,گیلانغرب,8,2
254,18,رودبارجنوب,15,2
255,22,بوکان,10,2
256,22,اشنویه,13,2
257,32,سرباز,23,2
258,2,داراب,5,2
259,26,تفت,3,2
260,26,ابرکوه,7,2
261,27,لنده,8,2
262,27,گچساران,3,2
263,10,سربیشه,3,2
264,10,سرایان,6,2
265,32,مهرستان,13,2
266,2,اقلید,3,2
267,2,استهبان,2,2
268,18,کرمان,8,2
269,32,زهک,10,2
270,22,شوط,17,2
271,28,لالی,17,2
272,28,گتوند,20,2
273,28,کارون,27,2
274,6,قزوین,3,2
275,27,باشت,7,2
276,18,نرماشیر,21,2
277,32,بمپور,20,2
278,17,بهشهر,4,2
279,17,بابلسر,16,2
280,16,بردسکن,23,2
281,28,بهبهان,6,2
282,22,شاهین دژ,11,2
283,28,بندرماهشهر,5,2
284,25,اسدآباد,6,2
285,26,مهریز,4,2
286,15,قروه,5,2
287,16,نیشابور,17,2
288,16,مه ولات,30,2
289,31,کوهدشت,6,2
290,31,سلسله,9,2
291,18,زرند,5,2
292,32,راسک,8,2
293,23,اهر,2,2
294,23,اسکو,22,2
295,4,هلیلان,11,2
296,24,اردل,5,2
297,18,شهربابک,7,2
298,5,ورامین,6,2
299,5,قرچک,21,2
300,5,قدس,16,2
301,3,مشگین شهر,4,2
302,2,فیروزآباد,9,2
303,20,فلاورجان,8,2
304,20,فریدونشهر,7,2
305,20,فریدن,6,2
306,9,لنگرود,10,2
307,9,لاهیجان,11,2
308,8,بندرلنگه,3,2
309,19,صحنه,10,2
310,5,ملارد,17,2
311,15,کامیاران,8,2
312,23,هوراند,27,2
313,9,رضوانشهر,14,2
314,15,سقز,3,2
315,30,آزادشهر,10,2
316,19,هرسین,11,2
317,2,فسا,8,2
318,2,فراشبند,22,2
319,18,ریگان,17,2
320,10,زیرکوه,9,2
321,10,درمیان,2,2
322,22,سلماس,5,2
323,22,سردشت,4,2
324,7,خنداب,12,2
325,15,سنندج,4,2
326,7,خمین,4,2
327,28,شوش,14,2
328,2,خنج,24,2
329,2,خفر,34,2
330,31,رومشکان,11,2
331,31,دورود,5,2
332,32,کنارک,9,2
333,32,قصرقند,18,2
334,19,سنقر,5,2
335,19,سرپل ذهاب,4,2
336,2,ارسنجان,17,2
337,9,فومن,9,2
338,28,شوشتر,12,2
339,23,هشترود,11,2
340,11,ماهنشان,9,2
341,29,دامغان,1,2
342,16,سبزوار,8,2
343,28,اندیکا,21,2
344,28,امیدیه,16,2
345,31,چگنی,10,2
346,3,گرمی,5,2
347,3,کوثر,7,2
348,3,سرعین,10,2
349,4,مهران,5,2
350,4,ملکشاهی,8,2
351,4,سیروان,9,2
352,20,شهرضا,9,2
353,29,آرادان,6,2
354,20,شاهین شهرومیمه,16,2
355,5,شهریار,9,2
356,5,شمیرانات,4,2
357,5,رئ,3,2
358,5,رباط کریم,12,2
359,2,مرودشت,12,2
360,2,لامرد,15,2
361,18,رابر,18,2
362,17,عباس آباد,24,2
363,17,سیمرغ,26,2
364,17,سوادکوه شمالی,27,2
365,17,سوادکوه,8,2
366,5,فیروزکوه,14,2
367,16,سرخس,20,2
368,23,ورزقان,24,2
369,22,ارومیه,1,2
370,31,ازنا,7,2
371,9,ماسال,16,2
372,25,فامنین,9,2
373,25,رزن,8,2
374,25,درگزین,10,2
375,25,تویسرکان,1,2
376,25,بهار,7,2
377,26,اردکان,1,2
378,18,ارزوئیه,23,2
379,15,مریوان,6,2
380,22,نقده,9,2
381,32,چاه بهار,2,2
382,22,میاندوآب,8,2
383,19,قصرشیرین,6,2
384,28,دزفول,8,2
385,16,تربت حیدریه,5,2
386,2,قیروکارزین,20,2
387,28,اندیمشک,2,2
388,32,زابل,4,2
389,16,فریمان,22,2
390,16,صالح آباد,40,2
391,17,تنکابن,5,2
392,19,اسلام آبادغرب,1,2
393,27,مارگون,9,2
394,19,کرمانشاه,2,2
395,29,سمنان,2,2
396,2,ممسنی,13,2
397,8,جاسک,6,2
398,2,بوانات,16,2
399,2,بختگان,35,2
400,32,نیک شهر,7,2
401,24,لردگان,4,2
402,24,کیار,7,2
403,7,شازند,7,2
404,23,خداآفرین,26,2
405,23,چاراویماق,23,2
406,23,جلفا,19,2
407,30,گنبدکاووس,6,2
408,30,گمیشان,13,2
409,8,پارسیان,11,2
410,30,گرگان,5,2
411,30,کلاله,9,2
412,26,میبد,6,2
